Request_ID,Created_Timestamp,Service_Category,Sub_Category,Priority,Status,District,Area,Email_ID,Channel,Citizen_Age_Group,Resolution_Time_Hours,Escalated,Satisfaction_Rating,Assigned_Department,Worker_Assigned
REQ1000,2023-01-01T04:58:00.000Z,Infrastructure,Road Damage,Critical,Resolved,Pune,Hinjewadi,kavita.rao649@rediffmail.com,Mobile App,36-50,2,No,5,INFRASTRUCTURE,WORKER_389
REQ1001,2023-01-01T13:38:00.000Z,Health Services,Vaccination,Critical,In-Progress,Nagpur,Pratap Nagar,rahul.kapoor121@hotmail.com,Mobile App,18-25,,No,,HEALTH_SERVICES,WORKER_252
REQ1002,2022-12-31T22:41:00.000Z,Road Maintenance,Sidewalk Repair,High,Escalated,Jalgaon,Shivaji Nagar,priya.singh581@rediffmail.com,Chatbot,36-50,,Yes,,ROAD_MAINTENANCE,WORKER_103
REQ1003,2023-01-01T03:45:00.000Z,Waste Management,Waste Disposal,Low,New,Sangli,Madhavnagar,manoj.chopra301@hotmail.com,Chatbot,18-25,,No,,WASTE_MANAGEMENT,
REQ1004,2022-12-31T18:35:00.000Z,Electricity,New Connection,Critical,Escalated,Raigad,Panvel,amit.joshi927@yahoo.com,Mobile App,65+,,Yes,,ELECTRICITY,WORKER_468
REQ1005,2022-12-31T21:45:00.000Z,Transport,Bus Service,Low,Escalated,Aurangabad,Shahganj,ramesh.mehta615@yahoo.com,Chatbot,65+,,No,,TRANSPORT,WORKER_483
REQ1006,2023-01-01T08:43:00.000Z,Education,Exam Related,High,New,Pune,Chinchwad,suresh.kulkarni504@outlook.com,Mobile App,65+,,No,,EDUCATION,
REQ1007,2023-01-01T03:25:00.000Z,Electricity,New Connection,High,Resolved,Mumbai Suburban,Andheri,asha.joshi753@hotmail.com,Chatbot,51-65,23,No,4,ELECTRICITY,WORKER_452
REQ1008,2023-01-01T08:00:00.000Z,Education,School Admission,Critical,Resolved,Pune,Deccan,priya.iyer904@rediffmail.com,Chatbot,36-50,6,No,4,EDUCATION,WORKER_293
REQ1009,2023-01-01T17:01:00.000Z,Infrastructure,Pothole Complaint,Critical,Escalated,Pune,Hinjewadi,manoj.kulkarni713@rediffmail.com,Phone,26-35,,No,,INFRASTRUCTURE,WORKER_328
REQ1010,2022-12-31T22:54:00.000Z,Water Supply,Pipeline Leakage,Low,New,Kolhapur,Station Road,rahul.joshi629@outlook.com,Mobile App,18-25,,No,,WATER_SUPPLY,
REQ1011,2022-12-31T21:30:00.000Z,Education,Book Distribution,Critical,Escalated,Pune,Hadapsar,sunita.mehta920@outlook.com,Chatbot,26-35,,No,,EDUCATION,WORKER_73
REQ1012,2023-01-01T01:50:00.000Z,Education,School Admission,Low,In-Progress,Kolhapur,Dabholkar Corner,anita.kumar681@rediffmail.com,Chatbot,36-50,,No,,EDUCATION,WORKER_492
REQ1013,2023-01-01T02:46:00.000Z,Education,School Admission,High,Escalated,Raigad,Khopoli,anita.nair78@yahoo.com,Web Portal,65+,,No,,EDUCATION,WORKER_161
REQ1014,2023-01-01T11:19:00.000Z,Public Safety,Crime Report,High,New,Mumbai City,CST,sunita.agarwal998@gmail.com,Mobile App,65+,,No,,PUBLIC_SAFETY,
REQ1015,2023-01-01T02:34:00.000Z,Road Maintenance,Sidewalk Repair,Medium,In-Progress,Kolhapur,Rankala,suresh.iyer960@hotmail.com,Phone,51-65,,No,,ROAD_MAINTENANCE,WORKER_9
REQ1016,2022-12-31T20:34:00.000Z,Health Services,Vaccination,Critical,Resolved,Nagpur,Civil Lines,sneha.mishra679@outlook.com,Web Portal,36-50,1,No,3,HEALTH_SERVICES,WORKER_336
REQ1017,2023-01-01T07:10:00.000Z,Education,Exam Related,Low,In-Progress,Satara,Shaniwar Peth,rajesh.reddy895@gmail.com,Chatbot,18-25,,No,,EDUCATION,WORKER_31
REQ1018,2023-01-01T17:15:00.000Z,Revenue Services,Birth Certificate,Critical,Resolved,Sangli,Ganpati Peth,vijay.chopra161@outlook.com,Chatbot,51-65,7,No,4,REVENUE_SERVICES,WORKER_487
REQ1019,2023-01-01T11:19:00.000Z,Education,Teacher Complaint,Medium,Resolved,Kolhapur,Station Road,kavita.agarwal290@rediffmail.com,Chatbot,26-35,5,No,4,EDUCATION,WORKER_95
REQ1020,2023-01-01T06:49:00.000Z,Health Services,Ambulance Request,Critical,New,Jalgaon,MIDC,sunita.joshi280@hotmail.com,Web Portal,18-25,,No,,HEALTH_SERVICES,
REQ1021,2023-01-01T13:34:00.000Z,Electricity,New Connection,Low,Escalated,Aurangabad,Cantonment,rahul.singh260@yahoo.com,Phone,18-25,,No,,ELECTRICITY,WORKER_329
REQ1022,2023-01-01T06:14:00.000Z,Transport,Taxi Complaint,Critical,New,Sangli,Vasant Nagar,deepa.rao992@yahoo.com,Web Portal,65+,,Yes,,TRANSPORT,
REQ1023,2023-01-01T11:18:00.000Z,Infrastructure,Road Damage,Medium,New,Solapur,Ashok Chowk,rajesh.mehta304@rediffmail.com,Mobile App,36-50,,No,,INFRASTRUCTURE,
REQ1024,2023-01-01T02:40:00.000Z,Infrastructure,Drainage Problem,Medium,In-Progress,Sangli,Digraj Road,rahul.agarwal450@yahoo.com,Web Portal,36-50,,No,,INFRASTRUCTURE,WORKER_236
REQ1025,2022-12-31T23:59:00.000Z,Road Maintenance,Road Cleaning,Critical,In-Progress,Amravati,Badnera Road,deepa.mishra646@rediffmail.com,Chatbot,18-25,,No,,ROAD_MAINTENANCE,WORKER_128
REQ1026,2023-01-01T09:30:00.000Z,Health Services,Emergency Care,Medium,Resolved,Amravati,Cotton Market,amit.patel554@rediffmail.com,Web Portal,26-35,9,No,5,HEALTH_SERVICES,WORKER_163
